romdasSpikes,calcSpikes,iri,meanY,sdY,meanX,sdX,meanZ,sdZ,romLog,iroadLog,,,
1386,18,4.16,9.796464433,0.061462279,9.56E-19,0.061462279,-0.001930896,0.061462279,3.14176323,1.255272505,,,
1395,27,4.16,9.800278403,0.069965314,-9.06E-10,0.069965314,-1.21E-10,0.069965314,3.144574208,1.431363764,,,
1397,24,4.17,9.796819492,0.104111883,6.98E-19,0.104111883,0.000688429,0.104111883,3.145196406,1.380211242,,,
1403,24,4.17,9.799530932,0.075716794,9.04E-19,0.075716794,-0.00139512,0.075716794,3.147057671,1.380211242,,,
1411,20,4.19,9.799699014,0.114982303,-1.52E-18,0.114982303,-0.006109732,0.114982303,3.149527014,1.301029996,,,
1417,23,4.18,9.798941616,0.069599087,1.97E-19,0.069599087,0.00101594,0.069599087,3.15136985,1.361727836,,,
1423,20,4.2,9.801472389,0.067877795,-3.77E-10,0.067877795,-6.07E-11,0.067877795,3.1532049,1.301029996,,,
1424,36,4.2,9.801036548,0.056591987,2.85E-19,0.056591987,-0.000812889,0.056591987,3.153509989,1.556302501,,,
1432,54,4.21,9.800704084,0.063303296,-3.63E-10,0.063303296,1.41E-09,0.063303296,3.155943018,1.73239376,,,
1439,17,4.22,9.800882183,0.05320445,8.86E-11,0.05320445,-1.21E-10,0.05320445,3.158060794,1.230448921,,,
1447,27,4.23,9.803144173,0.068005864,-2.02E-10,0.068005864,1.38E-11,0.068005864,3.160468531,1.431363764,,,
1458,14,4.24,9.800505365,0.058254756,-6.10E-10,0.058254756,2.15E-10,0.058254756,3.163757524,1.146128036,,,
1461,34,4.24,9.803053438,0.077005618,2.34E-10,0.077005618,7.47E-10,0.077005618,3.164650216,1.531478917,,,
1475,23,4.26,9.801123678,0.071118026,6.09E-19,0.071118026,0.001794267,0.071118026,3.16879202,1.361727836,,,
1475,19,4.26,9.801213061,0.054207301,2.71E-19,0.054207301,-0.000364758,0.054207301,3.16879202,1.278753601,,,
1489,28,4.28,9.796790475,0.093190198,4.20E-19,0.093190198,0.012028631,0.093190198,3.172894698,1.447158031,,,
1496,15,4.28,9.801345424,0.048529768,1.54E-19,0.048529768,-0.003201977,0.048529768,3.174931594,1.176091259,,,
1502,26,4.29,9.797465681,0.072598469,-1.14E-10,0.072598469,-3.68E-11,0.072598469,3.176669933,1.414973348,,,
1503,37,4.3,9.796421463,0.107146534,5.76E-12,0.107146534,1.39E-10,0.107146534,3.176958981,1.568201724,,,
